State,Year,Quarter,Transaction_count,Transaction_amount,Region
Andhra_Pradesh,2021,3,69220981,136945652159.2651,Southern Region
Andhra_Pradesh,2021,3,44828275,104417897558.5897,Southern Region
Andhra_Pradesh,2021,3,42628568,89371931753.04831,Southern Region
Andhra_Pradesh,2021,3,41675093,96525353090.12306,Southern Region
Andhra_Pradesh,2021,3,39572714,89380370072.7078,Southern Region
Andhra_Pradesh,2021,3,34411958,77839676988.30869,Southern Region
Andhra_Pradesh,2021,3,30366444,70291248155.64975,Southern Region
Andhra_Pradesh,2021,3,26377809,62527453761.598076,Southern Region
Andhra_Pradesh,2021,3,26245039,66647238455.1675,Southern Region
Andhra_Pradesh,2021,3,24116580,63367713446.92805,Southern Region
Andhra_Pradesh,2021,4,82711538,159530099772.73468,Southern Region
Andhra_Pradesh,2021,4,55489829,125015323207.8983,Southern Region
Andhra_Pradesh,2021,4,51119640,103985734663.7351,Southern Region
Andhra_Pradesh,2021,4,50919286,115553993673.1733,Southern Region
Andhra_Pradesh,2021,4,48992531,106725597026.00351,Southern Region
Andhra_Pradesh,2021,4,41921081,92256405076.26547,Southern Region
Andhra_Pradesh,2021,4,36129136,81239787006.64764,Southern Region
Andhra_Pradesh,2021,4,33235175,81292461575.08183,Southern Region
Andhra_Pradesh,2021,4,31782248,73968947669.64754,Southern Region
Andhra_Pradesh,2021,4,27858275,71323060008.47623,Southern Region
Andhra_Pradesh,2022,1,88233362,170120350591.26,Southern Region
Andhra_Pradesh,2022,1,61826199,139690081529.49042,Southern Region
Andhra_Pradesh,2022,1,58561024,117900595508.6339,Southern Region
Andhra_Pradesh,2022,1,57226996,129673727687.0894,Southern Region
Andhra_Pradesh,2022,1,54738830,121067103712.79561,Southern Region
Andhra_Pradesh,2022,1,47645702,104895571602.1398,Southern Region
Andhra_Pradesh,2022,1,40613148,90197023268.43825,Southern Region
Andhra_Pradesh,2022,1,37271259,92397939903.60934,Southern Region
Andhra_Pradesh,2022,1,35093633,81568420500.54747,Southern Region
Andhra_Pradesh,2022,1,31340975,79494373254.71565,Southern Region
Andhra_Pradesh,2022,2,101387402,193242841582.14282,Southern Region
Andhra_Pradesh,2022,2,73525814,163997729295.93118,Southern Region
Andhra_Pradesh,2022,2,67507661,136435445124.75612,Southern Region
Andhra_Pradesh,2022,2,66315749,147098141568.7622,Southern Region
Andhra_Pradesh,2022,2,62072845,135531452997.63911,Southern Region
Andhra_Pradesh,2022,2,54838708,121941082043.49481,Southern Region
Andhra_Pradesh,2022,2,46099366,102138758015.7691,Southern Region
Andhra_Pradesh,2022,2,44409239,107973244960.42819,Southern Region
Andhra_Pradesh,2022,2,40165692,92409350855.502,Southern Region
Andhra_Pradesh,2022,2,36163507,90435082545.97768,Southern Region
Andhra_Pradesh,2022,3,97434546,181124419863.6144,Southern Region
Andhra_Pradesh,2022,3,71051144,153770559025.69122,Southern Region
Andhra_Pradesh,2022,3,65751781,133053581631.6394,Southern Region
Andhra_Pradesh,2022,3,65612317,141588522953.2377,Southern Region
Andhra_Pradesh,2022,3,61467134,129677722169.7482,Southern Region
Andhra_Pradesh,2022,3,45165363,97735649608.10074,Southern Region
Andhra_Pradesh,2022,3,43635951,101706854744.31871,Southern Region
Andhra_Pradesh,2022,3,42116582,95099325968.25975,Southern Region
Andhra_Pradesh,2022,3,39557913,88415335176.31995,Southern Region
Andhra_Pradesh,2022,3,35376080,87475230073.46388,Southern Region
Andhra_Pradesh,2022,4,103790055,185306149744.73102,Southern Region
Andhra_Pradesh,2022,4,76526667,157826011193.3544,Southern Region
Andhra_Pradesh,2022,4,70723763,146938735166.5236,Southern Region
Andhra_Pradesh,2022,4,70322534,136840859888.1815,Southern Region
Andhra_Pradesh,2022,4,68016055,136531110139.8625,Southern Region
Andhra_Pradesh,2022,4,48299601,101533878537.2343,Southern Region
Andhra_Pradesh,2022,4,47919930,105335724990.5932,Southern Region
Andhra_Pradesh,2022,4,43524766,94667441029.08344,Southern Region
Andhra_Pradesh,2022,4,42582064,92085916180.68509,Southern Region
Andhra_Pradesh,2022,4,37211077,88105031866.36835,Southern Region
Arunachal_Pradesh,2018,1,14224,32555848.46233147,North-Eastern Region
Arunachal_Pradesh,2018,1,5787,9540632.547015157,North-Eastern Region
Arunachal_Pradesh,2018,1,3747,11496949.54576835,North-Eastern Region
Arunachal_Pradesh,2018,1,3286,5533620.186295529,North-Eastern Region
Arunachal_Pradesh,2018,1,3195,5380749.415278763,North-Eastern Region
Arunachal_Pradesh,2018,1,2334,5055665.022950603,North-Eastern Region
Arunachal_Pradesh,2018,1,2321,4361531.578447229,North-Eastern Region
Arunachal_Pradesh,2018,1,1887,4796675.565399804,North-Eastern Region
Arunachal_Pradesh,2018,1,1477,3650727.893614269,North-Eastern Region
Arunachal_Pradesh,2018,1,1400,2162984.705083958,North-Eastern Region
Arunachal_Pradesh,2018,2,25363,66520931.20355792,North-Eastern Region
Arunachal_Pradesh,2018,2,10466,25521321.34140157,North-Eastern Region
Arunachal_Pradesh,2018,2,6962,20520618.88189011,North-Eastern Region
Arunachal_Pradesh,2018,2,6363,15285584.202916931,North-Eastern Region
Arunachal_Pradesh,2018,2,6066,13294258.50337311,North-Eastern Region
Arunachal_Pradesh,2018,2,5447,13722374.81135791,North-Eastern Region
Arunachal_Pradesh,2018,2,4634,10271170.16552131,North-Eastern Region
Arunachal_Pradesh,2018,2,3230,6271811.327635023,North-Eastern Region
Arunachal_Pradesh,2018,2,2579,7610989.567485569,North-Eastern Region
Arunachal_Pradesh,2018,2,2292,2179451.657976534,North-Eastern Region
Arunachal_Pradesh,2018,3,43282,101080479.2917223,North-Eastern Region
Arunachal_Pradesh,2018,3,17026,48528147.45054105,North-Eastern Region
Arunachal_Pradesh,2018,3,11595,32702331.664437763,North-Eastern Region
Arunachal_Pradesh,2018,3,10539,24885270.773230053,North-Eastern Region
Arunachal_Pradesh,2018,3,10162,20494174.9497154,North-Eastern Region
Arunachal_Pradesh,2018,3,8715,25733824.99410926,North-Eastern Region
Arunachal_Pradesh,2018,3,5288,18327334.05075552,North-Eastern Region
Arunachal_Pradesh,2018,3,5076,10698272.7743813,North-Eastern Region
Arunachal_Pradesh,2018,3,3337,12966152.79251931,North-Eastern Region
Arunachal_Pradesh,2018,3,3322,7479257.007852319,North-Eastern Region
Arunachal_Pradesh,2018,4,55224,154875448.2077814,North-Eastern Region
Arunachal_Pradesh,2018,4,25439,89194886.84322134,North-Eastern Region
Arunachal_Pradesh,2018,4,14268,40510521.94979761,North-Eastern Region
Arunachal_Pradesh,2018,4,13950,32343047.413952347,North-Eastern Region
Arunachal_Pradesh,2018,4,12893,34272134.34491677,North-Eastern Region
Arunachal_Pradesh,2018,4,11104,35921510.894032694,North-Eastern Region
Arunachal_Pradesh,2018,4,7244,17643523.29373534,North-Eastern Region
Arunachal_Pradesh,2018,4,6581,22545311.85089966,North-Eastern Region
Arunachal_Pradesh,2018,4,5725,10811742.67058608,North-Eastern Region
Arunachal_Pradesh,2018,4,4227,10951332.39393786,North-Eastern Region
Arunachal_Pradesh,2019,1,70941,188556716.3567257,North-Eastern Region
Arunachal_Pradesh,2019,1,34289,101333633.6760416,North-Eastern Region
Arunachal_Pradesh,2019,1,17589,40239141.669717625,North-Eastern Region
Arunachal_Pradesh,2019,1,15896,42834776.778045304,North-Eastern Region
Arunachal_Pradesh,2019,1,15621,39284373.054099694,North-Eastern Region
Arunachal_Pradesh,2019,1,13102,39489779.13784294,North-Eastern Region
Arunachal_Pradesh,2019,1,8600,20065516.61635517,North-Eastern Region
Arunachal_Pradesh,2019,1,7287,25349462.055245362,North-Eastern Region
Arunachal_Pradesh,2019,1,6877,14075747.836402498,North-Eastern Region
