State,Year,Quarter,Transaction_count,Transaction_amount,Region
Andhra_Pradesh,2020,2,12313709,26964149095.36629,Southern Region
Andhra_Pradesh,2020,3,17972431,39300043804.758514,Southern Region
Andhra_Pradesh,2020,3,8286289,18029574581.33742,Southern Region
Andhra_Pradesh,2020,3,16468209,39128324534.03022,Southern Region
Andhra_Pradesh,2020,3,8236703,17567816576.50126,Southern Region
Andhra_Pradesh,2020,3,34421299,67628440368.111465,Southern Region
Andhra_Pradesh,2020,3,12266310,31221704852.44969,Southern Region
Andhra_Pradesh,2020,3,14447683,34102037972.657852,Southern Region
Andhra_Pradesh,2020,3,11934653,32037007334.12973,Southern Region
Andhra_Pradesh,2020,3,10412351,25408608725.75429,Southern Region
Andhra_Pradesh,2020,3,13243292,32529351107.17173,Southern Region
Andhra_Pradesh,2020,3,20501863,42811566246.16463,Southern Region
Andhra_Pradesh,2020,3,17601395,42531195809.75448,Southern Region
Andhra_Pradesh,2020,3,19110457,44788458672.084435,Southern Region
Andhra_Pradesh,2020,4,25989490,58732615663.118416,Southern Region
Andhra_Pradesh,2020,4,11092184,25222520275.27882,Southern Region
Andhra_Pradesh,2020,4,20934374,49115443663.37911,Southern Region
Andhra_Pradesh,2020,4,10580824,24094847668.44506,Southern Region
Andhra_Pradesh,2020,4,46551467,91879823025.40399,Southern Region
Andhra_Pradesh,2020,4,16176867,41852443493.51539,Southern Region
Andhra_Pradesh,2020,4,20996384,49732610814.26222,Southern Region
Andhra_Pradesh,2020,4,15676878,42572974713.44026,Southern Region
Andhra_Pradesh,2020,4,15674762,40310975762.603455,Southern Region
Andhra_Pradesh,2020,4,18737323,44718203115.22612,Southern Region
Andhra_Pradesh,2020,4,29590411,61505711149.79541,Southern Region
Andhra_Pradesh,2020,4,26136538,60641872021.254326,Southern Region
Andhra_Pradesh,2020,4,27981050,64461504667.60723,Southern Region
Andhra_Pradesh,2021,1,26190701,60027984987.969505,Southern Region
Andhra_Pradesh,2021,1,11160473,26486623313.092724,Southern Region
Andhra_Pradesh,2021,1,22541428,52210333201.53073,Southern Region
Andhra_Pradesh,2021,1,10514582,24153782497.24324,Southern Region
Andhra_Pradesh,2021,1,48248923,95308386037.84721,Southern Region
Andhra_Pradesh,2021,1,15175395,41396223622.17477,Southern Region
Andhra_Pradesh,2021,1,20102957,48353870395.01808,Southern Region
Andhra_Pradesh,2021,1,15374473,42570919448.50447,Southern Region
Andhra_Pradesh,2021,1,16015685,42124030669.36126,Southern Region
Andhra_Pradesh,2021,1,17918524,44941629659.56964,Southern Region
Andhra_Pradesh,2021,1,29342609,60947491846.66089,Southern Region
Andhra_Pradesh,2021,1,27445045,64207987853.1084,Southern Region
Andhra_Pradesh,2021,1,29717175,69715406644.53485,Southern Region
Andhra_Pradesh,2021,2,31717908,74604325863.66068,Southern Region
Andhra_Pradesh,2021,2,13546232,32298129544.54086,Southern Region
Andhra_Pradesh,2021,2,30290406,72283071757.09679,Southern Region
Andhra_Pradesh,2021,2,12689494,29140685236.830723,Southern Region
Andhra_Pradesh,2021,2,54390299,114439012713.3533,Southern Region
Andhra_Pradesh,2021,2,19944047,54535328043.04135,Southern Region
Andhra_Pradesh,2021,2,25123346,60987487571.27991,Southern Region
Andhra_Pradesh,2021,2,18457361,52523527031.021324,Southern Region
Andhra_Pradesh,2021,2,20950964,57233116236.187965,Southern Region
Andhra_Pradesh,2021,2,21972396,56659287474.9958,Southern Region
Andhra_Pradesh,2021,2,34344902,73654690122.43158,Southern Region
Andhra_Pradesh,2021,2,32968819,82356914463.83287,Southern Region
Andhra_Pradesh,2021,2,36370960,90021923049.96454,Southern Region
Andhra_Pradesh,2021,3,39572714,89380370072.7078,Southern Region
Andhra_Pradesh,2021,3,15639768,34836400769.87681,Southern Region
Andhra_Pradesh,2021,3,34411958,77839676988.30869,Southern Region
Andhra_Pradesh,2021,3,14510005,31383541628.21252,Southern Region
Andhra_Pradesh,2021,3,69220981,136945652159.2651,Southern Region
Andhra_Pradesh,2021,3,24116580,63367713446.92805,Southern Region
Andhra_Pradesh,2021,3,30366444,70291248155.64975,Southern Region
Andhra_Pradesh,2021,3,22439316,60683557724.65233,Southern Region
Andhra_Pradesh,2021,3,26245039,66647238455.1675,Southern Region
Andhra_Pradesh,2021,3,26377809,62527453761.598076,Southern Region
Andhra_Pradesh,2021,3,42628568,89371931753.04831,Southern Region
Andhra_Pradesh,2021,3,41675093,96525353090.12306,Southern Region
Andhra_Pradesh,2021,3,44828275,104417897558.5897,Southern Region
Andhra_Pradesh,2021,4,48992531,106725597026.00351,Southern Region
Andhra_Pradesh,2021,4,18501857,39713657870.15512,Southern Region
Andhra_Pradesh,2021,4,41921081,92256405076.26547,Southern Region
Andhra_Pradesh,2021,4,17253059,36577529464.968704,Southern Region
Andhra_Pradesh,2021,4,82711538,159530099772.73468,Southern Region
Andhra_Pradesh,2021,4,27858275,71323060008.47623,Southern Region
Andhra_Pradesh,2021,4,36129136,81239787006.64764,Southern Region
Andhra_Pradesh,2021,4,26340348,69081850069.2033,Southern Region
Andhra_Pradesh,2021,4,33235175,81292461575.08183,Southern Region
Andhra_Pradesh,2021,4,31782248,73968947669.64754,Southern Region
Andhra_Pradesh,2021,4,51119640,103985734663.7351,Southern Region
Andhra_Pradesh,2021,4,50919286,115553993673.1733,Southern Region
Andhra_Pradesh,2021,4,55489829,125015323207.8983,Southern Region
Andhra_Pradesh,2022,1,54738830,121067103712.79561,Southern Region
Andhra_Pradesh,2022,1,20990782,46898912115.649216,Southern Region
Andhra_Pradesh,2022,1,47645702,104895571602.1398,Southern Region
Andhra_Pradesh,2022,1,19278262,41994853361.58878,Southern Region
Andhra_Pradesh,2022,1,88233362,170120350591.26,Southern Region
Andhra_Pradesh,2022,1,31340975,79494373254.71565,Southern Region
Andhra_Pradesh,2022,1,40613148,90197023268.43825,Southern Region
Andhra_Pradesh,2022,1,29783739,78421693518.90942,Southern Region
Andhra_Pradesh,2022,1,37271259,92397939903.60939,Southern Region
Andhra_Pradesh,2022,1,35093633,81568420500.54749,Southern Region
Andhra_Pradesh,2022,1,58561024,117900595508.634,Southern Region
Andhra_Pradesh,2022,1,57226996,129673727687.0894,Southern Region
Andhra_Pradesh,2022,1,61826199,139690081529.49042,Southern Region
Andhra_Pradesh,2022,2,62072845,135531452997.63911,Southern Region
Andhra_Pradesh,2022,2,23727353,53754764122.43269,Southern Region
Andhra_Pradesh,2022,2,54838708,121941082043.49481,Southern Region
Andhra_Pradesh,2022,2,21766135,47294745020.495636,Southern Region
Andhra_Pradesh,2022,2,101387402,193242841582.14282,Southern Region
Andhra_Pradesh,2022,2,36163507,90435082545.97766,Southern Region
Andhra_Pradesh,2022,2,46099366,102138758015.7691,Southern Region
Andhra_Pradesh,2022,2,33154559,87601310069.59737,Southern Region
Andhra_Pradesh,2022,2,44409239,107973244960.42819,Southern Region
Andhra_Pradesh,2022,2,40165692,92409350855.50198,Southern Region
Andhra_Pradesh,2022,2,67507661,136435445124.75612,Southern Region
Andhra_Pradesh,2022,2,66315749,147098141568.7623,Southern Region
Andhra_Pradesh,2022,2,73525814,163997729295.9313,Southern Region
Andhra_Pradesh,2022,3,61467134,129677722169.7482,Southern Region
Andhra_Pradesh,2022,3,22126541,46899962921.785614,Southern Region
Andhra_Pradesh,2022,3,42116582,95099325968.25972,Southern Region
Andhra_Pradesh,2022,3,20440645,42513313394.84207,Southern Region
Andhra_Pradesh,2022,3,97434546,181124419863.6144,Southern Region
Andhra_Pradesh,2022,3,35376080,87475230073.46388,Southern Region
Andhra_Pradesh,2022,3,45165363,97735649608.10074,Southern Region
Andhra_Pradesh,2022,3,33119038,86016932181.12372,Southern Region
Andhra_Pradesh,2022,3,43635951,101706854744.31871,Southern Region
Andhra_Pradesh,2022,3,39557913,88415335176.31995,Southern Region
Andhra_Pradesh,2022,3,65751781,133053581631.6395,Southern Region
Andhra_Pradesh,2022,3,65612317,141588522953.2377,Southern Region
Andhra_Pradesh,2022,3,71051144,153770559025.69122,Southern Region
Andhra_Pradesh,2022,4,68016055,136531110139.8625,Southern Region
Andhra_Pradesh,2022,4,23693779,47726411107.886284,Southern Region
Andhra_Pradesh,2022,4,42582064,92085916180.6851,Southern Region
Andhra_Pradesh,2022,4,22205190,44467386404.34759,Southern Region
Andhra_Pradesh,2022,4,103790055,185306149744.73102,Southern Region
Andhra_Pradesh,2022,4,37211077,88105031866.36835,Southern Region
Andhra_Pradesh,2022,4,48299601,101533878537.2343,Southern Region
Andhra_Pradesh,2022,4,35201596,87360426792.81667,Southern Region
Andhra_Pradesh,2022,4,47919930,105335724990.5932,Southern Region
Andhra_Pradesh,2022,4,43524766,94667441029.08345,Southern Region
Andhra_Pradesh,2022,4,70322534,136840859888.1815,Southern Region
Andhra_Pradesh,2022,4,70723763,146938735166.5236,Southern Region
Andhra_Pradesh,2022,4,76526667,157826011193.3544,Southern Region
Arunachal_Pradesh,2018,1,1356,1076236.814073793,North-Eastern Region
Arunachal_Pradesh,2018,1,1477,3650727.893614269,North-Eastern Region
Arunachal_Pradesh,2018,1,2321,4361531.578447229,North-Eastern Region
Arunachal_Pradesh,2018,1,1887,4796675.565399804,North-Eastern Region
