,State,Year,Quarter,District,Registered_users,Region
254,Arunachal Pradesh,2019,2,Tawang,5908,North-Eastern Region
255,Arunachal Pradesh,2019,2,Lohit,5485,North-Eastern Region
256,Arunachal Pradesh,2019,2,Namsai,3914,North-Eastern Region
257,Arunachal Pradesh,2019,2,West Siang,3393,North-Eastern Region
258,Arunachal Pradesh,2019,2,Lower Dibang Valley,2842,North-Eastern Region
259,Arunachal Pradesh,2019,2,Tirap,2697,North-Eastern Region
260,Arunachal Pradesh,2019,3,Papum Pare,38845,North-Eastern Region
261,Arunachal Pradesh,2019,3,West Kameng,11186,North-Eastern Region
262,Arunachal Pradesh,2019,3,East Siang,8571,North-Eastern Region
263,Arunachal Pradesh,2019,3,Changlang,8145,North-Eastern Region
264,Arunachal Pradesh,2019,3,Tawang,6553,North-Eastern Region
265,Arunachal Pradesh,2019,3,Lohit,6421,North-Eastern Region
266,Arunachal Pradesh,2019,3,Namsai,4563,North-Eastern Region
267,Arunachal Pradesh,2019,3,West Siang,4101,North-Eastern Region
268,Arunachal Pradesh,2019,3,Lower Dibang Valley,3398,North-Eastern Region
269,Arunachal Pradesh,2019,3,Tirap,3099,North-Eastern Region
270,Arunachal Pradesh,2019,4,Papum Pare,44746,North-Eastern Region
271,Arunachal Pradesh,2019,4,West Kameng,12562,North-Eastern Region
272,Arunachal Pradesh,2019,4,East Siang,9859,North-Eastern Region
273,Arunachal Pradesh,2019,4,Changlang,9662,North-Eastern Region
274,Arunachal Pradesh,2019,4,Lohit,7386,North-Eastern Region
275,Arunachal Pradesh,2019,4,Tawang,7303,North-Eastern Region
276,Arunachal Pradesh,2019,4,Namsai,5190,North-Eastern Region
277,Arunachal Pradesh,2019,4,West Siang,4773,North-Eastern Region
278,Arunachal Pradesh,2019,4,Lower Dibang Valley,3944,North-Eastern Region
279,Arunachal Pradesh,2019,4,Tirap,3605,North-Eastern Region
280,Arunachal Pradesh,2020,1,Papum Pare,51342,North-Eastern Region
281,Arunachal Pradesh,2020,1,West Kameng,13983,North-Eastern Region
282,Arunachal Pradesh,2020,1,East Siang,11298,North-Eastern Region
283,Arunachal Pradesh,2020,1,Changlang,11262,North-Eastern Region
284,Arunachal Pradesh,2020,1,Lohit,8454,North-Eastern Region
285,Arunachal Pradesh,2020,1,Tawang,8048,North-Eastern Region
