State,Year,Quarter,Registered_users,Region
Arunachal_Pradesh,2022,1,27860,North-Eastern Region
Arunachal_Pradesh,2022,1,26904,North-Eastern Region
Arunachal_Pradesh,2022,1,25763,North-Eastern Region
Arunachal_Pradesh,2022,1,19214,North-Eastern Region
Arunachal_Pradesh,2022,1,15589,North-Eastern Region
Arunachal_Pradesh,2022,1,14420,North-Eastern Region
Arunachal_Pradesh,2022,1,14054,North-Eastern Region
Arunachal_Pradesh,2022,1,11401,North-Eastern Region
Arunachal_Pradesh,2022,1,10854,North-Eastern Region
Arunachal_Pradesh,2022,2,117568,North-Eastern Region
Arunachal_Pradesh,2022,2,29424,North-Eastern Region
Arunachal_Pradesh,2022,2,28495,North-Eastern Region
Arunachal_Pradesh,2022,2,27240,North-Eastern Region
Arunachal_Pradesh,2022,2,20325,North-Eastern Region
Arunachal_Pradesh,2022,2,16475,North-Eastern Region
Arunachal_Pradesh,2022,2,15231,North-Eastern Region
Arunachal_Pradesh,2022,2,14887,North-Eastern Region
Arunachal_Pradesh,2022,2,12040,North-Eastern Region
Arunachal_Pradesh,2022,2,11479,North-Eastern Region
Arunachal_Pradesh,2022,3,124095,North-Eastern Region
Arunachal_Pradesh,2022,3,30964,North-Eastern Region
Arunachal_Pradesh,2022,3,29965,North-Eastern Region
Arunachal_Pradesh,2022,3,28698,North-Eastern Region
Arunachal_Pradesh,2022,3,21385,North-Eastern Region
Arunachal_Pradesh,2022,3,17281,North-Eastern Region
Arunachal_Pradesh,2022,3,16063,North-Eastern Region
Arunachal_Pradesh,2022,3,15642,North-Eastern Region
Arunachal_Pradesh,2022,3,12668,North-Eastern Region
Arunachal_Pradesh,2022,3,12085,North-Eastern Region
Arunachal_Pradesh,2022,4,130306,North-Eastern Region
Arunachal_Pradesh,2022,4,32237,North-Eastern Region
Arunachal_Pradesh,2022,4,31196,North-Eastern Region
Arunachal_Pradesh,2022,4,30033,North-Eastern Region
Arunachal_Pradesh,2022,4,22359,North-Eastern Region
Arunachal_Pradesh,2022,4,18003,North-Eastern Region
Arunachal_Pradesh,2022,4,16816,North-Eastern Region
Arunachal_Pradesh,2022,4,16322,North-Eastern Region
Arunachal_Pradesh,2022,4,13188,North-Eastern Region
Arunachal_Pradesh,2022,4,12630,North-Eastern Region
Assam,2018,1,87336,North-Eastern Region
Assam,2018,1,21182,North-Eastern Region
Assam,2018,1,20485,North-Eastern Region
Assam,2018,1,19619,North-Eastern Region
Assam,2018,1,19567,North-Eastern Region
Assam,2018,1,18986,North-Eastern Region
Assam,2018,1,16442,North-Eastern Region
Assam,2018,1,15998,North-Eastern Region
Assam,2018,1,15241,North-Eastern Region
Assam,2018,1,11421,North-Eastern Region
Assam,2018,2,124720,North-Eastern Region
Assam,2018,2,30527,North-Eastern Region
Assam,2018,2,29882,North-Eastern Region
Assam,2018,2,29412,North-Eastern Region
Assam,2018,2,29381,North-Eastern Region
Assam,2018,2,28409,North-Eastern Region
Assam,2018,2,23900,North-Eastern Region
Assam,2018,2,23683,North-Eastern Region
Assam,2018,2,23595,North-Eastern Region
Assam,2018,2,16701,North-Eastern Region
Assam,2018,3,164101,North-Eastern Region
Assam,2018,3,41158,North-Eastern Region
Assam,2018,3,40888,North-Eastern Region
Assam,2018,3,40711,North-Eastern Region
Assam,2018,3,40687,North-Eastern Region
Assam,2018,3,38797,North-Eastern Region
Assam,2018,3,33197,North-Eastern Region
Assam,2018,3,32870,North-Eastern Region
Assam,2018,3,32134,North-Eastern Region
Assam,2018,3,22705,North-Eastern Region
Assam,2018,4,214212,North-Eastern Region
Assam,2018,4,55068,North-Eastern Region
Assam,2018,4,54395,North-Eastern Region
Assam,2018,4,53209,North-Eastern Region
Assam,2018,4,52539,North-Eastern Region
Assam,2018,4,51420,North-Eastern Region
Assam,2018,4,44868,North-Eastern Region
Assam,2018,4,42624,North-Eastern Region
