State,Year,Quarter,Registered_users,App_opens,Region
Andhra_Pradesh,2020,2,1076953,39704703,Southern Region
Andhra_Pradesh,2020,2,1035093,36268390,Southern Region
Andhra_Pradesh,2020,2,1426271,44267596,Southern Region
Andhra_Pradesh,2020,2,1459041,41234166,Southern Region
Andhra_Pradesh,2020,2,854459,30816403,Southern Region
Andhra_Pradesh,2020,2,537798,24370380,Southern Region
Andhra_Pradesh,2020,2,796769,29644037,Southern Region
Andhra_Pradesh,2020,2,944829,26583613,Southern Region
Andhra_Pradesh,2020,2,1385916,49820171,Southern Region
Andhra_Pradesh,2020,3,1601940,64292857,Southern Region
Andhra_Pradesh,2020,3,667858,31794753,Southern Region
Andhra_Pradesh,2020,3,2058346,102589371,Southern Region
Andhra_Pradesh,2020,3,915240,44970519,Southern Region
Andhra_Pradesh,2020,3,1186851,55714787,Southern Region
Andhra_Pradesh,2020,3,1132240,49164718,Southern Region
Andhra_Pradesh,2020,3,1567595,62427501,Southern Region
Andhra_Pradesh,2020,3,1599289,61028114,Southern Region
Andhra_Pradesh,2020,3,937176,43951448,Southern Region
Andhra_Pradesh,2020,3,587784,31199437,Southern Region
Andhra_Pradesh,2020,3,877909,41578067,Southern Region
Andhra_Pradesh,2020,3,1053674,38126238,Southern Region
Andhra_Pradesh,2020,3,1506503,69462572,Southern Region
Andhra_Pradesh,2020,4,1746280,82605352,Southern Region
Andhra_Pradesh,2020,4,726761,36770992,Southern Region
Andhra_Pradesh,2020,4,2209658,124730170,Southern Region
Andhra_Pradesh,2020,4,999462,52839846,Southern Region
Andhra_Pradesh,2020,4,1295872,69562398,Southern Region
Andhra_Pradesh,2020,4,1230466,60615045,Southern Region
Andhra_Pradesh,2020,4,1712940,81291172,Southern Region
Andhra_Pradesh,2020,4,1744028,81787771,Southern Region
Andhra_Pradesh,2020,4,1022944,54765443,Southern Region
Andhra_Pradesh,2020,4,634462,35110885,Southern Region
Andhra_Pradesh,2020,4,959182,49596303,Southern Region
Andhra_Pradesh,2020,4,1163179,51170162,Southern Region
Andhra_Pradesh,2020,4,1631331,88232999,Southern Region
Andhra_Pradesh,2021,1,1878769,91478749,Southern Region
Andhra_Pradesh,2021,1,782604,40590058,Southern Region
Andhra_Pradesh,2021,1,2368081,135908324,Southern Region
Andhra_Pradesh,2021,1,1075936,56911479,Southern Region
Andhra_Pradesh,2021,1,1394849,73375049,Southern Region
Andhra_Pradesh,2021,1,1323411,65326230,Southern Region
Andhra_Pradesh,2021,1,1843237,92731167,Southern Region
Andhra_Pradesh,2021,1,1876458,92941553,Southern Region
Andhra_Pradesh,2021,1,1100541,60691988,Southern Region
Andhra_Pradesh,2021,1,681621,37752539,Southern Region
Andhra_Pradesh,2021,1,1032689,53525815,Southern Region
Andhra_Pradesh,2021,1,1254117,57392671,Southern Region
Andhra_Pradesh,2021,1,1751420,99083825,Southern Region
Andhra_Pradesh,2021,2,2006272,84705076,Southern Region
Andhra_Pradesh,2021,2,837958,43740255,Southern Region
Andhra_Pradesh,2021,2,2526830,114313154,Southern Region
Andhra_Pradesh,2021,2,1151232,76850749,Southern Region
Andhra_Pradesh,2021,2,1492738,104568606,Southern Region
Andhra_Pradesh,2021,2,1415585,81894678,Southern Region
Andhra_Pradesh,2021,2,1968681,88248064,Southern Region
Andhra_Pradesh,2021,2,2002662,85771678,Southern Region
Andhra_Pradesh,2021,2,1176334,74049216,Southern Region
Andhra_Pradesh,2021,2,729509,42684475,Southern Region
Andhra_Pradesh,2021,2,1103004,72255265,Southern Region
Andhra_Pradesh,2021,2,1339377,65118788,Southern Region
Andhra_Pradesh,2021,2,1870723,110505432,Southern Region
Andhra_Pradesh,2021,3,2150622,103626560,Southern Region
Andhra_Pradesh,2021,3,902008,48622126,Southern Region
Andhra_Pradesh,2021,3,2707931,139540800,Southern Region
Andhra_Pradesh,2021,3,1239147,91533813,Southern Region
Andhra_Pradesh,2021,3,1606735,124985545,Southern Region
Andhra_Pradesh,2021,3,1522196,101210508,Southern Region
